trialnr	trialtype	endpos	latency	correct
1	left	(645, 570)	504.09521484375	1
2	left	(618, 600)	328.3291015625	1
3	left	(964, 547)	1022.255859375	0
4	right	(1414, 561)	3225.774169921875	1
5	right	(1433, 576)	467.2041015625	1
6	left	(469, 555)	233.01513671875	1
7	left	(985, 549)	182.007080078125	0
8	left	(505, 578)	262.255859375	1
9	right	(1503, 573)	308.110595703125	1
10	right	(1528, 544)	297.044921875	1
11	left	(514, 541)	269.387939453125	1
12	left	(456, 595)	372.278076171875	1
13	right	(1372, 580)	271.214111328125	1
14	left	(961, 542)	41.13427734375	0
15	right	(1641, 560)	301.9677734375	1
16	right	(1552, 559)	464.172119140625	1
17	left	(503, 554)	378.525146484375	1
18	left	(391, 500)	400.619873046875	1
19	right	(1455, 595)	310.212890625	1
20	right	(1524, 580)	378.81103515625	1
